title,views,date_time,video_link,thumbnail_link
Let's Put a Nuke In Your Living Room To Test Physics,1.1M views,19 hours ago,https://www.youtube.com/watch?v=7wK4peez9zE,https://i9.ytimg.com/vi/7wK4peez9zE/hqdefault_custom_1.jpg
When Your Body Attacks Itself – Autoimmune,2.3M views,4 weeks ago,https://www.youtube.com/watch?v=efOW5NUTYB8,https://i.ytimg.com/vi/efOW5NUTYB8/hqdefault.jpg
How Nuclear Flies Protect You from Flesh-Eating Parasites,4.6M views,1 month ago,https://www.youtube.com/watch?v=zxq60I5RSW8,https://i.ytimg.com/vi/zxq60I5RSW8/hqdefault.jpg
Why Does Fentanyl Feel So Good?,6.9M views,2 months ago,https://www.youtube.com/watch?v=m6KnVTYtSc0,https://i.ytimg.com/vi/m6KnVTYtSc0/hqdefault.jpg
What If It Rains Bananas For A Single Day? (Spoiler: It's Bad),4.1M views,2 months ago,https://www.youtube.com/watch?v=tRXy-b6_lBc,https://i.ytimg.com/vi/tRXy-b6_lBc/hqdefault.jpg
Your Time Machine Broke - At The Worst Time In History,4.9M views,3 months ago,https://www.youtube.com/watch?v=NYNBAxDfgrY&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/NYNBAxDfgrY/hqdefault.jpg
SOUTH KOREA IS OVER,13M views,3 months ago,https://www.youtube.com/watch?v=Ufmu1WD2TSk,https://i.ytimg.com/vi/Ufmu1WD2TSk/hqdefault.jpg
Why Your Brain Blinds You For 2 Hours Every Day,6.1M views,4 months ago,https://www.youtube.com/watch?v=wo_e0EvEZn8,https://i.ytimg.com/vi/wo_e0EvEZn8/hqdefault.jpg
If You Eat Meat You Should Know This,4.7M views,5 months ago,https://www.youtube.com/watch?v=5sVfTPaxRwk,https://i.ytimg.com/vi/5sVfTPaxRwk/hqdefault.jpg
What Actual Aliens Might Look Like,7.7M views,5 months ago,https://www.youtube.com/watch?v=dCiMUWw1BBc,https://i.ytimg.com/vi/dCiMUWw1BBc/hqdefault.jpg
The Real Reason Why You Have Allergies,6M views,7 months ago,https://www.youtube.com/watch?v=9zCH37330f8,https://i.ytimg.com/vi/9zCH37330f8/hqdefault.jpg
Is The World Getting More Violent?,4.4M views,7 months ago,https://www.youtube.com/watch?v=reSfF60-2S4,https://i.ytimg.com/vi/reSfF60-2S4/hqdefault.jpg
Black Hole's Evil Twin - Gravastars Explained,6.8M views,7 months ago,https://www.youtube.com/watch?v=BmUZ2wp1lM8,https://i.ytimg.com/vi/BmUZ2wp1lM8/hqdefault.jpg
Vaping Is Too Good To Be True,7.2M views,8 months ago,https://www.youtube.com/watch?v=cHEOsKddURQ,https://i.ytimg.com/vi/cHEOsKddURQ/hqdefault.jpg
We Have To Talk About Weed,11M views,8 months ago,https://www.youtube.com/watch?v=qBRaI0ZeAf8,https://i.ytimg.com/vi/qBRaI0ZeAf8/hqdefault.jpg
The Most Insane Weapon You Never Heard About,11M views,8 months ago,https://www.youtube.com/watch?v=E55uSCO5D2w,https://i.ytimg.com/vi/E55uSCO5D2w/hqdefault.jpg
We Fell For The Oldest Lie On The Internet,7.3M views,9 months ago,https://www.youtube.com/watch?v=bgo7rm5Maqg,https://i.ytimg.com/vi/bgo7rm5Maqg/hqdefault.jpg
Tired of Doomscrolling?,5.6M views,9 months ago,https://www.youtube.com/watch?v=c1nYtX-NUsc,https://i.ytimg.com/vi/c1nYtX-NUsc/hqdefault.jpg
There Is Life Hiding Inside Earth,7.1M views,9 months ago,https://www.youtube.com/watch?v=VD6xJq8NguY,https://i.ytimg.com/vi/VD6xJq8NguY/hqdefault.jpg
This Video Might Save 58 Lives Next Week,5.2M views,10 months ago,https://www.youtube.com/watch?v=oTx-GSF3cts,https://i.ytimg.com/vi/oTx-GSF3cts/hqdefault.jpg
Why Scientists Are Puzzled By This Virus,4.7M views,10 months ago,https://www.youtube.com/watch?v=SbvAaDN1bpE,https://i.ytimg.com/vi/SbvAaDN1bpE/hqdefault.jpg
We Need to Rethink Exercise (Updated Version),4.6M views,10 months ago,https://www.youtube.com/watch?v=vSSkDos2hzo,https://i.ytimg.com/vi/vSSkDos2hzo/hqdefault.jpg
We Traveled Back in Time. Now Physicists Are Angry.,7.9M views,11 months ago,https://www.youtube.com/watch?v=dBxxi5XAm3U,https://i.ytimg.com/vi/dBxxi5XAm3U/hqdefault.jpg
"Fever Feels Horrible, but is Actually Awesome!",8.5M views,11 months ago,https://www.youtube.com/watch?v=cRZOUcpiOxY,https://i.ytimg.com/vi/cRZOUcpiOxY/hqdefault.jpg
A.I. ‐ Humanity's Final Invention?,10M views,11 months ago,https://www.youtube.com/watch?v=fa8k8IQ1_X0,https://i.ytimg.com/vi/fa8k8IQ1_X0/hqdefault.jpg
This Disease is Deadlier Than The Plague,9.8M views,1 year ago,https://www.youtube.com/watch?v=GFLb5h2O2Ww,https://i.ytimg.com/vi/GFLb5h2O2Ww/hqdefault.jpg
Do You Have a Free Will?,5.9M views,1 year ago,https://www.youtube.com/watch?v=UebSfjmQNvs,https://i.ytimg.com/vi/UebSfjmQNvs/hqdefault.jpg
We Are Making a VIDEO GAME,1.8M views,1 year ago,https://www.youtube.com/watch?v=3DFE8gZe9bA,https://i.ytimg.com/vi/3DFE8gZe9bA/hqdefault.jpg
Your Hidden Superpower,1.3M views,1 year ago,https://www.youtube.com/watch?v=itBBsQRv0EU,https://i.ytimg.com/vi/itBBsQRv0EU/hqdefault.jpg
This Black Hole Could be Bigger Than The Universe,7.6M views,1 year ago,https://www.youtube.com/watch?v=71eUes30gwc,https://i.ytimg.com/vi/71eUes30gwc/hqdefault.jpg
Smoking is Awesome,12M views,1 year ago,https://www.youtube.com/watch?v=_rBPwu2uS-w,https://i.ytimg.com/vi/_rBPwu2uS-w/hqdefault.jpg
How The Dinosaurs Actually Died,7.6M views,1 year ago,https://www.youtube.com/watch?v=pjoQdz0nxf4,https://i.ytimg.com/vi/pjoQdz0nxf4/hqdefault.jpg
The Paradox of an Infinite Universe,9.6M views,1 year ago,https://www.youtube.com/watch?v=isdLel273rQ,https://i.ytimg.com/vi/isdLel273rQ/hqdefault.jpg
Your Tattoo is INSIDE Your Immune System. Literally,15M views,1 year ago,https://www.youtube.com/watch?v=nGggU-Cxhv0,https://i.ytimg.com/vi/nGggU-Cxhv0/hqdefault.jpg
The Moment kurzgesagt Changed Forever,1.9M views,1 year ago,https://www.youtube.com/watch?v=yDMZJ7LgrGY,https://i.ytimg.com/vi/yDMZJ7LgrGY/hqdefault.jpg
How to Win an Interstellar War,10M views,1 year ago,https://www.youtube.com/watch?v=tybKnGZRwcU&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/tybKnGZRwcU/hqdefault.jpg
What Happens If You Destroy A Black Hole?,12M views,1 year ago,https://www.youtube.com/watch?v=cFslUSyfZPc,https://i.ytimg.com/vi/cFslUSyfZPc/hqdefault.jpg
The Most Dangerous Weapon Is Not Nuclear,6M views,2 years ago,https://www.youtube.com/watch?v=9FppammO1zk&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/9FppammO1zk/hqdefault.jpg
Why Aliens Might Already Be On Their Way To Us,8.9M views,2 years ago,https://www.youtube.com/watch?v=GDSf2h9_39I,https://i.ytimg.com/vi/GDSf2h9_39I/hqdefault.jpg
How We Make Money on YouTube with 20M Subs,5M views,2 years ago,https://www.youtube.com/watch?v=1x-i9z617z4,https://i.ytimg.com/vi/1x-i9z617z4/hqdefault.jpg
What Actually Happens When You Are Sick?,7.1M views,2 years ago,https://www.youtube.com/watch?v=M-K7mxdN62M,https://i.ytimg.com/vi/M-K7mxdN62M/hqdefault.jpg
How to Terraform Mars - WITH LASERS,10M views,2 years ago,https://www.youtube.com/watch?v=HpcTJW4ur54,https://i.ytimg.com/vi/HpcTJW4ur54/hqdefault.jpg
The Horror of the Slaver Ant,9.4M views,2 years ago,https://www.youtube.com/watch?v=Qsbe1pD8ocE,https://i.ytimg.com/vi/Qsbe1pD8ocE/hqdefault.jpg
The Most Extreme Explosion in the Universe,10M views,2 years ago,https://www.youtube.com/watch?v=q4DF3j4saCE,https://i.ytimg.com/vi/q4DF3j4saCE/hqdefault.jpg
Why Don't We Shoot Nuclear Waste Into Space?,13M views,2 years ago,https://www.youtube.com/watch?v=Us2Z-WC9rao,https://i.ytimg.com/vi/Us2Z-WC9rao/hqdefault.jpg
The Biggest Eruptions That Changed Earth Forever,11M views,2 years ago,https://www.youtube.com/watch?v=fXb02MQ78yQ,https://i.ytimg.com/vi/fXb02MQ78yQ/hqdefault.jpg
Let’s Travel to The Most Extreme Place in The Universe,13M views,2 years ago,https://www.youtube.com/watch?v=FfWtIaDtfYk,https://i.ytimg.com/vi/FfWtIaDtfYk/hqdefault.jpg
How To Make Friends,7.3M views,2 years ago,https://www.youtube.com/watch?v=I9hJ_Rux9y0&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/I9hJ_Rux9y0/hqdefault.jpg
Is Civilization on the Brink of Collapse?,10M views,2 years ago,https://www.youtube.com/watch?v=W93XyXHI8Nw,https://i.ytimg.com/vi/W93XyXHI8Nw/hqdefault.jpg
The Deadliest Virus on Earth,15M views,3 years ago,https://www.youtube.com/watch?v=4u5I8GYB79Y,https://i.ytimg.com/vi/4u5I8GYB79Y/hqdefault.jpg
The Last Human – A Glimpse Into The Far Future,14M views,3 years ago,https://www.youtube.com/watch?v=LEENEFaVUzU,https://i.ytimg.com/vi/LEENEFaVUzU/hqdefault.jpg
Change Your Life – One Tiny Step at a Time,13M views,3 years ago,https://www.youtube.com/watch?v=75d_29QWELk,https://i.ytimg.com/vi/75d_29QWELk/hqdefault.jpg
You Are Not Where You Think You Are,10M views,3 years ago,https://www.youtube.com/watch?v=Pj-h6MEgE7I,https://i.ytimg.com/vi/Pj-h6MEgE7I/hqdefault.jpg
The Most Horrible Parasite: Brain Eating Amoeba,14M views,3 years ago,https://www.youtube.com/watch?v=7OPg-ksxZ4Y,https://i.ytimg.com/vi/7OPg-ksxZ4Y/hqdefault.jpg
We WILL Fix Climate Change!,11M views,3 years ago,https://www.youtube.com/watch?v=LxgMdjyw8uw,https://i.ytimg.com/vi/LxgMdjyw8uw/hqdefault.jpg
Are There Lost Alien Civilizations in Our Past?,13M views,3 years ago,https://www.youtube.com/watch?v=KRvv0QdruMQ,https://i.ytimg.com/vi/KRvv0QdruMQ/hqdefault.jpg
What Happens if the Moon Crashes into Earth?,20M views,3 years ago,https://www.youtube.com/watch?v=lheapd7bgLA,https://i.ytimg.com/vi/lheapd7bgLA/hqdefault.jpg
Why We Should NOT Look For Aliens - The Dark Forest,16M views,3 years ago,https://www.youtube.com/watch?v=xAUJYP8tnRE,https://i.ytimg.com/vi/xAUJYP8tnRE/hqdefault.jpg
...And We'll Do it Again,13M views,3 years ago,https://www.youtube.com/watch?v=XFqn3uy238E,https://i.ytimg.com/vi/XFqn3uy238E/hqdefault.jpg
Is Meat Really that Bad?,8.5M views,3 years ago,https://www.youtube.com/watch?v=F1Hq8eVOMHs,https://i.ytimg.com/vi/F1Hq8eVOMHs/hqdefault.jpg
You Are Immune Against Every Disease,18M views,3 years ago,https://www.youtube.com/watch?v=LmpuerlbJu0,https://i.ytimg.com/vi/LmpuerlbJu0/hqdefault.jpg
What Dinosaurs ACTUALLY Looked Like?,14M views,3 years ago,https://www.youtube.com/watch?v=xaQJbozY_Is,https://i.ytimg.com/vi/xaQJbozY_Is/hqdefault.jpg
Two Chapters From Our New Book – Exclusive Preview!,2M views,3 years ago,https://www.youtube.com/watch?v=0FRVx_c9T0c,https://i.ytimg.com/vi/0FRVx_c9T0c/hqdefault.jpg
Can YOU Fix Climate Change?,13M views,3 years ago,https://www.youtube.com/watch?v=yiw6_JakZFc&pp=0gcJCccJAYcqIYzv,https://i.ytimg.com/vi/yiw6_JakZFc/hqdefault.jpg
